name,description,alertTransitionInterval,alertClearTransitionInterval,type,dataType,maxDigits,postProcessorMethod,postProcessorParam,rawDataFieldName,maxValue,minValue,userParam1,userParam2,userParam3,alertForNoData,alertExpr,alertExprNote,alertSubject,alertBody,enableAnomalyAlertSuppression
AllocationUnits,Total allocation units measured by cluster size,0,0,2,7,4,none,,,,0,.1.3.6.1.2.1.25.2.3.1.4.##WILDVALUE##,,,1,,,,,
Size,Total size of volume in allocation units,0,0,2,7,4,none,,,,0,.1.3.6.1.2.1.25.2.3.1.5.##WILDVALUE##,,,1,,,,,
Used,Total space used in volume measured in allocation units,0,0,2,7,4,none,,,,0,.1.3.6.1.2.1.25.2.3.1.6.##WILDVALUE##,,,1,,,,,
AllocationFailures,Total number of allocation failures measured by count,0,0,2,7,4,none,,,,0,.1.3.6.1.2.1.25.2.3.1.7.##WILDVALUE##,,,1,> 5 timezone=America/Los_Angeles,,,"Allocation failures have been detected on ##INSTANCE## for ##HOST##. The amount of failures has surpassed ##THRESHOLD## number of times, for ##DURATION##.
The current value is ##VALUE## -- which is above the level ##LEVEL##
There may be an error with this drive. 
This started at ##START##",
PercentUsed,Volume usage measured in percentage of total used.,0,0,2,7,4,expression,(Used/Size)*100,,100,0,,,,1,,,,,
TotalSize,Total Size of volume multiplied by allocation units. Indicates number of bytes available for consumption on disk.,0,0,2,7,4,expression,Size*AllocationUnits,,,0,,,,1,,,,,
TotalUsed,Total used space multiplied by allocation units. Indicates total number of bytes already consumed on disk.,0,0,2,7,4,expression,Used*AllocationUnits,,,0,,,,1,,,,,
